 #       E(meV)        ESP            ERR            CANI           CANS           DCAN     
 @ type xydy
 @ xaxes scale Logarithmic
  9.44060876E+02  8.38153574E-03  4.61743983E-04  7.38416303E+01  7.78899414E+01  4.04831110E+00
  8.41395142E+02  7.36914967E-03  4.52107059E-04  7.78899414E+01  8.21781300E+01  4.28818862E+00
  7.49894209E+02  8.71734333E-03  4.47621813E-04  8.21781300E+01  8.67204098E+01  4.54227977E+00
  6.68343918E+02  1.04488726E-02  4.44101899E-04  8.67204098E+01  9.15318365E+01  4.81142676E+00
  5.95662144E+02  1.14166483E-02  4.39398237E-04  9.15318365E+01  9.66283583E+01  5.09652172E+00
  5.30884444E+02  1.28945794E-02  4.35896878E-04  9.66283583E+01  1.02026868E+02  5.39850962E+00
  4.73151259E+02  1.46681680E-02  4.33145793E-04  1.02026868E+02  1.07745259E+02  5.71839143E+00
  4.21696503E+02  1.75329309E-02  4.32383920E-04  1.07745259E+02  1.13802487E+02  6.05722742E+00
  3.75837404E+02  2.08602696E-02  4.32433532E-04  1.13802487E+02  1.20218627E+02  6.41614071E+00
  3.34965439E+02  2.51750174E-02  4.34000584E-04  1.20218627E+02  1.27014948E+02  6.79632095E+00
  2.98538262E+02  3.01258298E-02  4.36414946E-04  1.27014948E+02  1.34213977E+02  7.19902828E+00
  2.66072506E+02  3.69125744E-02  4.41176185E-04  1.34213977E+02  1.41839574E+02  7.62559752E+00
  2.37137371E+02  4.36237995E-02  4.45565928E-04  1.41839574E+02  1.49917017E+02  8.07744258E+00
  2.11348904E+02  5.22207509E-02  4.51978719E-04  1.49917017E+02  1.58473078E+02  8.55606115E+00
  1.88364909E+02  6.46064435E-02  4.62177640E-04  1.58473078E+02  1.67536118E+02  9.06303964E+00
  1.67880402E+02  7.93704571E-02  4.74017980E-04  1.67536118E+02  1.77136176E+02  9.60005850E+00
  1.49623566E+02  9.46762172E-02  4.85433975E-04  1.77136176E+02  1.87305074E+02  1.01688977E+01
  1.33352143E+02  1.15370951E-01  5.00712392E-04  1.87305074E+02  1.98076517E+02  1.07714428E+01
  1.18850223E+02  1.38720616E-01  5.16825259E-04  1.98076517E+02  2.09486208E+02  1.14096909E+01
  1.05925373E+02  1.66858385E-01  5.35082366E-04  2.09486208E+02  2.21571965E+02  1.20857576E+01
  9.44060876E+01  1.95973626E-01  5.52450193E-04  2.21571965E+02  2.34373849E+02  1.28018838E+01
  8.41395142E+01  2.25717210E-01  5.68884253E-04  2.34373849E+02  2.47934292E+02  1.35604431E+01
  7.49894209E+01  2.55613616E-01  5.84358079E-04  2.47934292E+02  2.62298242E+02  1.43639498E+01
  6.68343918E+01  2.81681691E-01  5.97003970E-04  2.62298242E+02  2.77513309E+02  1.52150674E+01
  5.95662144E+01  2.98257195E-01  6.04503872E-04  2.77513309E+02  2.93629926E+02  1.61166168E+01
  5.30884444E+01  3.08161066E-01  6.08920748E-04  2.93629926E+02  3.10701512E+02  1.70715864E+01
  4.73151259E+01  3.07799187E-01  6.08776021E-04  3.10701512E+02  3.28784654E+02  1.80831415E+01
  4.21696503E+01  2.98010647E-01  6.04601409E-04  3.28784654E+02  3.47939289E+02  1.91546350E+01
  3.75837404E+01  2.82455525E-01  5.98155261E-04  3.47939289E+02  3.68228907E+02  2.02896184E+01
  3.34965439E+01  2.61431940E-01  5.89425307E-04  3.68228907E+02  3.89720761E+02  2.14918539E+01
