 #       E(meV)        ESP            ERR            CANI           CANS           DCAN     
 @ type xydy
 @ xaxes scale Logarithmic
  9.44060876E+02  2.26178469E-03  1.60612854E-04  7.38416303E+01  7.78899414E+01  4.04831110E+00
  8.41395142E+02  1.98862318E-03  1.64482868E-04  7.78899414E+01  8.21781300E+01  4.28818862E+00
  7.49894209E+02  2.58150956E-03  1.70215493E-04  8.21781300E+01  8.67204098E+01  4.54227977E+00
  6.68343918E+02  3.37326018E-03  1.76389929E-04  8.67204098E+01  9.15318365E+01  4.81142676E+00
  5.95662144E+02  3.90986727E-03  1.82152027E-04  9.15318365E+01  9.66283583E+01  5.09652172E+00
  5.30884444E+02  4.70321969E-03  1.88456589E-04  9.66283583E+01  1.02026868E+02  5.39850962E+00
  4.73151259E+02  5.68528591E-03  1.95149163E-04  1.02026868E+02  1.07745259E+02  5.71839143E+00
  4.21696503E+02  7.24689738E-03  2.02836409E-04  1.07745259E+02  1.13802487E+02  6.05722742E+00
  3.75837404E+02  9.14442881E-03  2.11039496E-04  1.13802487E+02  1.20218627E+02  6.41614071E+00
  3.34965439E+02  1.16726812E-02  2.20146735E-04  1.20218627E+02  1.27014948E+02  6.79632095E+00
  2.98538262E+02  1.47060440E-02  2.29876178E-04  1.27014948E+02  1.34213977E+02  7.19902828E+00
  2.66072506E+02  1.89394774E-02  2.41078814E-04  1.34213977E+02  1.41839574E+02  7.62559752E+00
  2.37137371E+02  2.34010305E-02  2.52334884E-04  1.41839574E+02  1.49917017E+02  8.07744258E+00
  2.11348904E+02  2.92366243E-02  2.65004390E-04  1.49917017E+02  1.58473078E+02  8.55606115E+00
  1.88364909E+02  3.77124968E-02  2.80253644E-04  1.58473078E+02  1.67536118E+02  9.06303964E+00
  1.67880402E+02  4.81701218E-02  2.96939825E-04  1.67536118E+02  1.77136176E+02  9.60005850E+00
  1.49623566E+02  5.95589045E-02  3.13795192E-04  1.77136176E+02  1.87305074E+02  1.01688977E+01
  1.33352143E+02  7.51303481E-02  3.33615356E-04  1.87305074E+02  1.98076517E+02  1.07714428E+01
  1.18850223E+02  9.33120247E-02  3.54511972E-04  1.98076517E+02  2.09486208E+02  1.14096909E+01
  1.05925373E+02  1.15739411E-01  3.77411469E-04  2.09486208E+02  2.21571965E+02  1.20857576E+01
  9.44060876E+01  1.39893748E-01  4.00187764E-04  2.21571965E+02  2.34373849E+02  1.28018838E+01
  8.41395142E+01  1.65525968E-01  4.22700072E-04  2.34373849E+02  2.47934292E+02  1.35604431E+01
  7.49894209E+01  1.92255233E-01  4.44816503E-04  2.47934292E+02  2.62298242E+02  1.43639498E+01
  6.68343918E+01  2.16927663E-01  4.64969171E-04  2.62298242E+02  2.77513309E+02  1.52150674E+01
  5.95662144E+01  2.34771481E-01  4.81105964E-04  2.77513309E+02  2.93629926E+02  1.61166168E+01
  5.30884444E+01  2.47545313E-01  4.94591704E-04  2.93629926E+02  3.10701512E+02  1.70715864E+01
  4.73151259E+01  2.51909926E-01  5.04011022E-04  3.10701512E+02  3.28784654E+02  1.80831415E+01
  4.21696503E+01  2.48077120E-01  5.09571213E-04  3.28784654E+02  3.47939289E+02  1.91546350E+01
  3.75837404E+01  2.38772895E-01  5.12586232E-04  3.47939289E+02  3.68228907E+02  2.02896184E+01
  3.34965439E+01  2.24041102E-01  5.12947507E-04  3.68228907E+02  3.89720761E+02  2.14918539E+01
  2.98538262E+01  2.05537608E-01  5.11366999E-04  3.89720761E+02  4.12486087E+02  2.27653263E+01
  2.66072506E+01  1.88881945E-01  5.10826268E-04  4.12486087E+02  4.36600344E+02  2.41142567E+01
  2.37137371E+01  1.70675038E-01  5.09533682E-04  4.36600344E+02  4.62143460E+02  2.55431162E+01
  2.11348904E+01  1.55887234E-01  5.10369272E-04  4.62143460E+02  4.89200101E+02  2.70566410E+01
  1.88364909E+01  1.41767535E-01  5.11869331E-04  4.89200101E+02  5.17859949E+02  2.86598478E+01
  1.67880402E+01  1.28273464E-01  5.14083194E-04  5.17859949E+02  5.48218000E+02  3.03580505E+01
  1.49623566E+01  1.10746257E-01  5.14268055E-04  5.48218000E+02  5.80374878E+02  3.21568781E+01
  1.33352143E+01  9.14411293E-02  5.13746482E-04  5.80374878E+02  6.14437171E+02  3.40622929E+01
  1.18850223E+01  7.45904136E-02  5.15178296E-04  6.14437171E+02  6.50517781E+02  3.60806107E+01
  1.05925373E+01  6.16479310E-02  5.19566272E-04  6.50517781E+02  6.88736303E+02  3.82185213E+01
  9.44060876E+00  5.32404813E-02  5.27360176E-04  6.88736303E+02  7.29219414E+02  4.04831110E+01
  8.41395142E+00  4.32068260E-02  5.34748823E-04  7.29219414E+02  7.72101300E+02  4.28818862E+01
  7.49894209E+00  3.49816479E-02  5.43873986E-04  7.72101300E+02  8.17524098E+02  4.54227977E+01
  6.68343918E+00  2.63095221E-02  5.53362597E-04  8.17524098E+02  8.65638365E+02  4.81142676E+01
  5.95662144E+00  2.12700268E-02  5.65656319E-04  8.65638365E+02  9.16603583E+02  5.09652172E+01
  5.30884444E+00  2.04959855E-02  5.81008989E-04  9.16603583E+02  9.70588679E+02  5.39850962E+01
